source;fr;fr_dbta;en;en_dbta;pt;pt_dbta;es;es_dbta
clean.search_for_actors_with_identical_coordinates;Recherche des Acteurs avec coordonnées identiques;Recherche des Acteurs avec coordonnées identiques;Search for Actors with identical coordinates;Search for Actors with identical coordinates;Pesquisar Atores com coordenadas idênticas;Pesquisar Atores com coordenadas idênticas;Buscar Actores con coordenadas idénticas;Buscar Actores con coordenadas idénticas
clean.error;Erreur;Erreur;Error;Error;Erro;Erro;Error;Error
clean.search_for_coordinates;Recherche des coordonnées;Recherche des coordonnées;Search for coordinates;Search for coordinates;Pesquisar coordenadas;Pesquisar coordenadas;Buscar coordenadas;Buscar coordenadas
clean.update_coordinates;Mise à jour des coordonnées;Mise à jour des coordonnées;Update coordinates;Update coordinates;Atualizar coordenadas;Atualizar coordenadas;Actualizar coordenadas;Actualizar coordenadas
footer.useful_links;Liens utiles;Liens utiles;Useful links;Useful links;ônus úteis;ônus úteis;gravámenes utiles;gravámenes utiles
footer.informations;Informations;Informations;Informations;Informations;Informação;Informação;Información;Información
footer.contact_informations;informations de contact;informations de contact;Contact informations;Contact informations;informações de contato;informações de contato;Información del contacto;Información del contacto
footer.dev_by;Développé par;Développé par;Developed by;Developed by;Desenvolvido pela;Desenvolvido pela;Desarrollado por;Desarrollado por
footer.partners;Partenaires;Partenaires;Partners;Partners;Parceiros;Parceiros;Socios;Socios
dbtech_digital_library;Bibliothèque numérique DBTECH;Bibliothèque numérique DBTECH;DBTECH Digital Library;DBTECH Digital Library;Biblioteca Digital DBTECH;Biblioteca Digital DBTECH;Biblioteca digital DBTECH;Biblioteca digital DBTECH
footer.salesians_of_don_bosco;Salésiens de Don Bosco;Salésiens de Don Bosco;Salesians of Don Bosco;Salesians of Don Bosco;Salesianos de Dom Bosco;Salesianos de Dom Bosco;Salesianos de Don Bosco;Salesianos de Don Bosco
footer.salesian_formation_centre_africa_madagascar;Centre de Formation Salésienne Afrique Madagascar;Centre de Formation Salésienne Afrique Madagascar;Salesian Formation Centre Africa Madagascar;Salesian Formation Centre Africa Madagascar;Centro Salesiano de Formação África Madagascar;Centro Salesiano de Formação África Madagascar;Centro de Formación Salesiano África Madagascar;Centro de Formación Salesiano África Madagascar
footer.salesian_education;Éducation Salésienne;Éducation Salésienne;Salesian Education;Salesian Education;Educação Salesiana;Educação Salesiana;Educación Salesiana;Educación Salesiana
footer.ans;ANS;ANS;ANS;ANS;ANS;ANS;ANS;ANS
;;;;;;;;
flashbag.Welcome_please_complete_your_profile_below;Bienvenue ! Avant de répondre au questionnaire d'insertion, merci de compléter votre profil ci-dessous.;Bienvenue ! Avant de répondre au questionnaire d'insertion, merci de compléter votre profil ci-dessous.;Welcome! Before answering the insertion questionnaire, please complete your profile below;Welcome! Before answering the integration questionnaire, please complete your profile below;Bem-vindo! Antes de responder ao questionário de inserção, preencha seu perfil abaixo;Bem-vindo! Antes de responder ao questionário de integração, preencha seu perfil abaixo;Bienvenido! Antes de responder al cuestionario de inserción, complete su perfil a continuación;Bienvenido! Antes de responder al cuestionario de integración, complete su perfil a continuación
;;;;;;;;
satisfaction_search.job;Métier;Métier;Job;Job;Cargo;Cargo;Puesto de trabajo;Puesto de trabajo
satisfaction_search.function;Fonction;Fonction;Function;Function;Função;Função;Función;Función
satisfaction_creator.monthly_pay;Salaire Mensuel;Salaire Mensuel;Monthly salary;Monthly salary;Salário mensal;Salário mensal;Salario mensual;Salario mensual
satisfaction_creator.excellent;excellent;excellent;excellent;excellent;excelente;excelente;excelente;excelente
satisfaction_creator.good;bon;bon;good;good;bom;bom;buena;buena
satisfaction_creator.satisfying_between_the_two;satisfaisant, entre les deux;satisfaisant, entre les deux;satisfying, between the two;satisfying, between the two;satisfatório, entre os dois;satisfatório, entre os dois;satisfactorio, entre los dos;satisfactorio, entre los dos
satisfaction_creator.unsatisfactory;insatisfaisant;insatisfaisant;unsatisfactory;unsatisfactory;insatisfatório;insatisfatório;insatisfactorio;insatisfactorio
satisfaction_creator.very_unsatisfactory;très insatisfaisant;très insatisfaisant;very unsatisfactory;very unsatisfactory;muito insatisfatório;muito insatisfatório;muy insatisfactorio;muy insatisfactorio
satisfaction_salary.daily_pay;Salaire Journalier;Salaire Journalier;Daily salary;Daily salary;Salário diário;Salário diário;Salario diario;Salario diario
satisfaction_salary.other_job_reason_not_found;Autre raison d\'emploi non trouvé ?;Autre raison d\'emploi non trouvé ?;Other job reason not found?;Other job reason not found?;Outro motivo de trabalho não encontrado?;Outro motivo de trabalho não encontrado?;¿Otro motivo laboral no encontrado?;¿Otro motivo laboral no encontrado?
satisfaction_salary.satisfied_with_job;Etes-vous satisfait de votre emploi ?;Etes-vous satisfait de votre emploi ?;Are you satisfied with your job?;Are you satisfied with your job?;Você está satisfeito com seu emprego?;Você está satisfeito com seu emprego?;¿Está satisfecho con su trabajo?;¿Está satisfecho con su trabajo?
satisfaction_salary.satisfied_with_training;Etes-vous satisfait de votre formation ?;Etes-vous satisfait de votre formation ?;Are you satisfied with your taining?;Are you satisfied with your taining?;Você está satisfeito com seu treinamento?;Você está satisfeito com seu treinamento?;¿Está satisfecho con su trabajo?;¿Está satisfecho con su trabajo?
satisfaction_company.qualified_worker;Ouvrier qualifié;Ouvrier qualifié;Qualified worker;Qualified worker;Trabalhador qualificado;Trabalhador qualificado;Trabajador cualificado;Trabajador cualificado
satisfaction_company.senior_technician;Technicien supérieur;Technicien supérieur;Senior technician;Senior technician;Técnico sênior;Técnico sênior;Técnico superior;Técnico superior
satisfaction_company.technician;Technicien;Technicien;Technician;Technician;Técnico;Técnico;Técnico;Técnico
satisfaction_company.worker;Ouvrier;Ouvrier;Worker;Worker;Trabalhador;Trabalhador;Trabajador;Trabajador
;;;;;;;;
;<-dates>;<-dates>;;;;;;
date.january;Janvier;Janvier;January;January;janeiro;janeiro;Enero;Enero
date.febuary;Février;Février;febuary;febuary;fevereiro;fevereiro;Febrero;Febrero
date.march;Mars;Mars;March;March;março;março;Marzo;Marzo
date.april;Avril;Avril;April;April;abril;abril;abril;abril
date.may;Mai;Mai;May;May;maio;maio;Mayo;Mayo
date.june;Juin;Juin;June;June;junho;junho;Junio;Junio
date.july;Juillet;Juillet;July;July;julho;julho;Julio;Julio
date.august;Août;Août;August;August;agosto;agosto;Agosto;Agosto
date.september;Septembre;Septembre;September;September;setembro;setembro;Septiembre;Septiembre
date.october;Octobre;Octobre;October;October;outubro;outubro;Octubre;Octubre
date.november;Novembre;Novembre;November;November;novembro;novembro;Noviembre;Noviembre
date.december;Décembre;Décembre;December;December;dezembro;dezembro;Diciembre;Diciembre
;;;;;;;;
js.would_you_like_to_update_the_coordinates_of_these;Voulez vous mettre à jour les coordonnées de ces;Voulez vous mettre à jour les coordonnées de ces;Would you like to update the coordinates of these;Would you like to update the coordinates of these;Você gostaria de atualizar as coordenadas desses;Você gostaria de atualizar as coordenadas desses;¿Desea actualizar las coordenadas de estos?;¿Desea actualizar las coordenadas de estos?
js.actors;acteurs;acteurs;actors;actors;atores;atores;actores;actores
js.all_f;Toutes;Toutes;All;All;Todos;Todos;Todos;Todos
js.select;Selectionnez;Selectionnez;Select;Select;Selecionar;Selecionar;Seleccione;Seleccione
js.select_sector;Selectionnez un domaine;Selectionnez un domaine;Select a sector of activity;Select a sector of activity;Selecione um setor de atividade;Selecione um setor de atividade;Seleccionar un sector de actividad;Seleccionar un sector de actividad
js.select_region;Selectionnez une région;Selectionnez un pays;Select a region;Select a country;Selecionar uma região;Selecionar um país;Seleccionar una región;Seleccionar un país
js.select_activity;Selectionnez une filière;Selectionnez une filière;Select an activity;Select an activity;Selecione uma atividade;Selecione uma atividade;Seleccione una actividad;Seleccione una actividad
js.warning_delete_all_personal_data;Attention, vous êtes sur le point de supprimer toutes vos données personnelles;Attention, vous êtes sur le point de supprimer toutes vos données personnelles;Warning, you are about to delete all your personal data;Warning, you are about to delete all your personal data;Aviso, você está prestes a excluir todos os seus dados pessoais;Aviso, você está prestes a excluir todos os seus dados pessoais;Advertencia, está a punto de borrar todos sus datos personales;Advertencia, está a punto de borrar todos sus datos personales
js.warning_coordinates_recalculated;Attention, les coordonnées seront recalculées;Attention, les coordonnées seront recalculées;Warning, the coordinates will be recalculated;Warning, the coordinates will be recalculated;Aviso, as coordenadas serão recalculadas;Aviso, as coordenadas serão recalculadas;Advertencia, las coordenadas serán recalculadas;Advertencia, las coordenadas serán recalculadas
js.warning_phone_number_changed;Attention, votre numéro de téléphone va être modifié, vous devrez vous reconnecter avec ce nouveau numéro;Attention, votre numéro de téléphone va être modifié, vous devrez vous reconnecter avec ce nouveau numéro;Warning, your phone number will be changed, you will have to log in again with this new number;Warning, your phone number will be changed, you will have to log in again with this new number;Aviso, seu número de telefone será alterado, você terá que fazer login novamente com esse novo número;Aviso, seu número de telefone será alterado, você terá que fazer login novamente com esse novo número;Atención, tu número de teléfono cambiará, tendrás que conectarte de nuevo con este nuevo número;Atención, tu número de teléfono cambiará, tendrás que conectarte de nuevo con este nuevo número
js.manual_mode;Mode manuel activé;Mode manuel activé;Manual mode activated;Manual mode activated;Modo manual ativado;Modo manual ativado;Modo manual activado;Modo manual activado
js.warning_telephone_digits_part1;Attention, votre numéro de téléphone doit avoir ;Attention, votre numéro de téléphone doit avoir ;Warning, your telephone number must have;Warning, your telephone number must have;Aviso, seu número de telefone deve ter;Aviso, seu número de telefone deve ter;Atención, su número de teléfono debe tener;Atención, su número de teléfono debe tener
js.warning_telephone_digits_part2;digits apres l'indicatif, veuillez le ressaisir;digits apres l'indicatif, veuillez le ressaisir;digits after the area code, please re-enter it;digits after the area code, please re-enter it;dígitos após o código de área, digite-o novamente;dígitos após o código de área, digite-o novamente;dígitos después del prefijo, vuelva a introducirlo;dígitos después del prefijo, vuelva a introducirlo
js.warning,phone_must_begin_part1;Attention, votre numéro de téléphone doit commencer par;Attention, votre numéro de téléphone doit commencer par;Warning, your phone number must begin with;Warning, your phone number must begin with;Aviso, seu número de telefone deve começar com;Aviso, seu número de telefone deve começar com;Atención, su número de teléfono debe empezar por;Atención, su número de teléfono debe empezar por
js.warning,phone_must_begin_part2;, veuillez le ressaisir;, veuillez le ressaisir;, please re-enter it;, please re-enter it;Por favor, digite-o novamente.;Por favor, digite-o novamente.;vuelva a introducirlo;vuelva a introducirlo
js.sure_to_modify_tel_number;Voulez-vous vraiment modifier le Numéro tel ?;Voulez-vous vraiment modifier le Numéro tel ?;Are you sure you want to modify the Tel number ?;Are you sure you want to modify the Tel number ?;Tem certeza de que deseja modificar o número de telefone?;Tem certeza de que deseja modificar o número de telefone?;¿Está seguro de que desea modificar el número de teléfono?;¿Está seguro de que desea modificar el número de teléfono?
js.sure_to_modify_professional_situation;Voulez-vous vraiment modifier la situation professionnelle ?;Voulez-vous vraiment modifier la situation professionnelle ?;Are you sure you want to modify the professional situation ?;Are you sure you want to modify the professional situation ?;Tem certeza de que deseja modificar a situação profissional?;Tem certeza de que deseja modificar a situação profissional?;¿ Está seguro de querer modificar la situación profesional ?;¿ Está seguro de querer modificar la situación profesional ?
js.sure_to_modify_email;Voulez-vous vraiment modifier l\'email ?;Voulez-vous vraiment modifier l\'email ?;Are you sure you want to modify the email ?;Are you sure you want to modify the email ?;Tem certeza de que deseja modificar o e-mail?;Tem certeza de que deseja modificar o e-mail?;¿ Seguro que quieres modificar el email ?;¿ Seguro que quieres modificar el email ?
js.want_delete_these_users_part1;Voulez vous supprimer ces;Voulez vous supprimer ces;Do you want to delete these;Do you want to delete these;Deseja excluir esses;Deseja excluir esses;¿ Desea suprimir estos usuarios ?;¿ Desea suprimir estos usuarios ?
js.want_delete_these_users_part2;utilisateurs ?;utilisateurs ?;users ?;users ?;usuários?;usuários?;;
js.want_delete_these_offers_part1;Voulez vous supprimer ces;Voulez vous supprimer ces;Do you want to delete these;Do you want to delete these;Você deseja excluir essas;Você deseja excluir essas;¿Desea eliminar estas ofertas de empleo?;¿Desea eliminar estas ofertas de empleo?
js.want_delete_these_offers_part2;Offres d'emploi ?;Offres d'emploi ?;job offers ?;job offers ?;ofertas de emprego?;ofertas de emprego?;;
js.want_delete_these_applies_part1;Voulez vous supprimer ces;Voulez vous supprimer ces;Do you want to delete these;Do you want to delete these;Você deseja excluir essas;Você deseja excluir essas;¿Desea eliminar estas ofertas de empleo?;¿Desea eliminar estas ofertas de empleo?
js.want_delete_these_applies_part2;Offres postulées ?;Offres postulées ?;applies offers ?;applies offers ?;ofertas aplicadas ?;ofertas aplicadas ?;Ofertas aplicadas ?;Ofertas aplicadas ?
js.number_of_applies_with_tag;Nombre d'offres %tag_br% postulées;Nombre d'offres %tag_br% postulées;Number of %tag_br% offers applied;Number of %tag_br% offers applied;Número de ofertas de %tag_br% aplicadas;Número de ofertas de %tag_br% aplicadas;Número de ofertas %tag_br% aplicadas;Número de ofertas %tag_br% aplicadas
js.sure_edit_this_entry;Etes vous sûr de modifier cette entrée ?;Etes vous sûr de modifier cette entrée ?;Are you sure you want to edit this entry ?;Are you sure you want to edit this entry ?;Tem certeza de que deseja editar essa entrada?;Tem certeza de que deseja editar essa entrada?;¿Estás seguro de que quieres editar esta entrada?;¿Estás seguro de que quieres editar esta entrada?
js.sure_create_this_entry;Etes vous sûr de créer cette entrée ?;Etes vous sûr de créer cette entrée ?;Are you sure you want to create this entry ?;Are you sure you want to create this entry ?;Tem certeza de que deseja criar esta entrada?;Tem certeza de que deseja criar esta entrada?;¿Estás seguro de que quieres crear esta entrada?;¿Estás seguro de que quieres crear esta entrada?
js.sure_edit_these_entries_part1;Etes vous sûr de modifier ces ;Etes vous sûr de modifier ces ;Are you sure to edit these ;Are you sure to edit these ;Tem certeza de que deseja editar essas ;Tem certeza de que deseja editar essas ;Estás seguro de que quieres editar estas ;Estás seguro de que quieres editar estas 
js.sure_edit_these_entries_part2;entrées ?;entrées ?; entries ?; entries ?; entradas ?; entradas ?; entradas?; entradas?
js.sure_send_notifications;Etes vous sûr de vouloir envoyer les notification ?;Etes vous sûr de vouloir envoyer les notification ?;Are you sure you want to send notifications ?;Are you sure you want to send notifications ?;Tem certeza de que deseja enviar notificações?;Tem certeza de que deseja enviar notificações?;¿Está seguro de que desea enviar notificaciones?;¿Está seguro de que desea enviar notificaciones?
js.warning_coordinates_will_be_recalculated;Attention, les coordonnées seront recalculées;Attention, les coordonnées seront recalculées;Warning, the coordinates will be recalculated;Warning, the coordinates will be recalculated;Aviso, as coordenadas serão recalculadas;Aviso, as coordenadas serão recalculadas;Atención, las coordenadas serán recalculadas;Atención, las coordenadas serán recalculadas
js.warning_log_in_with_this_new_number;Attention, votre numéro de téléphone va être modifié, vous devrez vous reconnecter avec ce nouveau numéro;Attention, votre numéro de téléphone va être modifié, vous devrez vous reconnecter avec ce nouveau numéro;Warning, your phone number will be changed, you will have to log in again with this new number;Warning, your phone number will be changed, you will have to log in again with this new number;Atenção, seu número de telefone será alterado, você terá que fazer login novamente com esse novo número;Atenção, seu número de telefone será alterado, você terá que fazer login novamente com esse novo número;Atención, su número de teléfono se modificará, deberá conectarse de nuevo con este nuevo número;Atención, su número de teléfono se modificará, deberá conectarse de nuevo con este nuevo número
js.geocode_search_failed;Echec de recherche Geocode;Echec de recherche Geocode;Geocode search failed;Geocode search failed;Falha na pesquisa de geocódigo;Falha na pesquisa de geocódigo;Búsqueda de geocódigo fallida;Búsqueda de geocódigo fallida
js.error_phone_number_already_used;Erreur: Num tel déjà utilisé;Erreur: Num tel déjà utilisé;Error: Phone number already in use;Error: Phone number already in use;Erro: Número de telefone já em uso;Erro: Número de telefone já em uso;Fallo: Número de teléfono ya utilizado;Fallo: Número de teléfono ya utilizado
js.error_email_already_used;Erreur: Email déjà utilisé;Erreur: Email déjà utilisé;Error: Email already in use;Error: Email already in use;Erro: O e-mail já está em uso;Erro: O e-mail já está em uso;Error: Correo electrónico ya utilizado;Error: Correo electrónico ya utilizado
js.unknown_error_server;Erreur inconnue de serveur;Erreur inconnue de serveur;Unknown server error;Unknown server error;Erro de servidor desconhecido;Erro de servidor desconhecido;Error de servidor desconocido;Error de servidor desconocido
js.warning_operation_may_take_several_minutes;Attention cette opération peut prendre plusieurs minutes;Attention cette opération peut prendre plusieurs minutes;Warning, this operation may take several minutes;Warning, this operation may take several minutes;Aviso, essa operação pode levar vários minutos;Aviso, essa operação pode levar vários minutos;Atención, esta operación puede tardar varios minutos;Atención, esta operación puede tardar varios minutos
js.error_school_contains_graduates_and_cannot_be_deleted_part1;l'établissement;l'établissement;the TVET School;the TVET School;a Escola TVET;a Escola TVET;la Escuela de EFTP;la Escuela de EFTP
js.error_school_contains_graduates_and_cannot_be_deleted_part2;contient des dipômés et ne peut être supprimé;contient des dipômés et ne peut être supprimé;contains graduates and cannot be deleted;contains graduates and cannot be deleted;contém graduados e não pode ser excluído;contém graduados e não pode ser excluído;contiene graduados y no se puede borrar;contiene graduados y no se puede borrar
js.error_while_deleting_the_offer;erreur lors de la suppression de l'offre;erreur lors de la suppression de l'offre;error while deleting the offer;error while deleting the offer;Erro ao excluir a oferta;Erro ao excluir a oferta;error al borrar la oferta;error al borrar la oferta
js.error_while_deleting_the_apply;erreur lors de la suppression de l'offre postulée;erreur lors de la suppression de l'offre postulée;error while deleting the apply;error while deleting the apply;erro ao excluir a oferta aplicada;erro ao excluir a oferta aplicada;error al eliminar la oferta aplicada;error al eliminar la oferta aplicada
js.you_cannot_select_everything_if_line_edit_mode;Vous ne pouvez pas tout selectionner si une ligne est en mode Edition;Vous ne pouvez pas tout selectionner si une ligne est en mode Edition;You cannot select everything if a line is in edit mode;You cannot select everything if a line is in edit mode;Não é possível selecionar tudo se uma linha estiver no modo de edição;Não é possível selecionar tudo se uma linha estiver no modo de edição;No se puede seleccionar todo si una línea está en modo edición;No se puede seleccionar todo si una línea está en modo edición
js.Please_complete_all_required_fields;Veuillez remplir tous les champs requis;Veuillez remplir tous les champs requis;Please complete all required fields;Please complete all required fields;Preencha todos os campos obrigatórios;Preencha todos os campos obrigatórios;Rellene todos los campos obligatorios;Rellene todos los campos obligatorios
js.no_entry_to_validate;Il n'y a aucune entrée à  valider;Il n'y a aucune entrée à  valider;There is no entry to validate;There is no entry to validate;Não há nenhuma entrada para validar;Não há nenhuma entrada para validar;No hay ninguna entrada para validar;No hay ninguna entrada para validar
js.you_cannot_delete_entries_if_line_in_edit_mode;Vous ne pouvez pas supprimes les entrées si une ligne est en mode Edition;Vous ne pouvez pas supprimes les entrées si une ligne est en mode Edition;You cannot delete entries if a line is in edit mode;You cannot delete entries if a line is in edit mode;Não é possível excluir entradas se uma linha estiver no modo de edição;Não é possível excluir entradas se uma linha estiver no modo de edição;No se pueden borrar entradas si una línea está en modo edición;No se pueden borrar entradas si una línea está en modo edición
js.emails_sent_successfully;Email(s) envoyé(s) avec succès;Email(s) envoyé(s) avec succès;Email(s) sent successfully;Email(s) sent successfully;E-mail(s) enviado(s) com sucesso;E-mail(s) enviado(s) com sucesso;Correo(s) electrónico(s) enviado(s) correctamente;Correo(s) electrónico(s) enviado(s) correctamente
js.error_while_sending_emails;Erreur lors de l\'envoi des mails.;Erreur lors de l\'envoi des mails.;Error while sending emails;Error while sending emails;Erro ao enviar e-mails;Erro ao enviar e-mails;Error al enviar emails;Error al enviar emails
js.no_email;Pas d\'email;Pas d\'email;No email;No email;Nenhum e-mail;Nenhum e-mail;No hay email;No hay email
js.no_password;Pas de Pwd;Pas de Pwd;No password;No password;Sem senha;Sem senha;No hay contraseña;No hay contraseña
js.you_cannot_send_an_email_if_line_in_edit_mode;Vous ne pouvez pas envoyer d'email si une ligne est en mode Edition;Vous ne pouvez pas envoyer d'email si une ligne est en mode Edition;You cannot send an email if a line is in edit mode;You cannot send an email if a line is in edit mode;Não é possível enviar um e-mail se uma linha estiver no modo de edição;Não é possível enviar um e-mail se uma linha estiver no modo de edição;No se puede enviar un correo electrónico si una línea está en modo edición;No se puede enviar un correo electrónico si una línea está en modo edición
js.the_city_of_the_line_not_exist_in_the_system_part1;La ville de la ligne;La ville de la ligne;The city of the line;The city of the line;A cidade da linha;A cidade da linha;La ciudad de la línea;La ciudad de la línea
js.the_city_of_the_line_not_exist_in_the_system_part2;n'existe pas dans le system;n'existe pas dans le system;does not exist in the system;does not exist in the system;não existe no sistema;não existe no sistema;no existe en el sistema;no existe en el sistema
js.please_complete_all_required_fields;Veuillez remplir tous les champs requis;Veuillez remplir tous les champs requis;Please complete all required fields;Please complete all required fields;Preencha todos os campos obrigatórios;Preencha todos os campos obrigatórios;Rellene todos los campos obligatorios;Rellene todos los campos obligatorios
js.file_invalid_fields_name_and_telephone_mandatory;Le fichier n'est pas valide. Les champs \'nom\' et \'téléphone\' sont obligatoires;Le fichier n'est pas valide. Les champs \'nom\' et \'téléphone\' sont obligatoires;The file is invalid. The fields \'name\' and \'telephone\' are mandatory;The file is invalid. The fields \'name\' and \'telephone\' are mandatory;O arquivo é inválido. Os campos \'nome\' e \'telefone\' são obrigatórios;O arquivo é inválido. Os campos \'nome\' e \'telefone\' são obrigatórios;"El fichero no es válido. Los campos ""nombre"" y ""teléfono"" son obligatorios.";"El fichero no es válido. Los campos ""nombre"" y ""teléfono"" son obligatorios."
js.file_invalid_fields_firstname_lastname_and_telephone_mandatory;Le fichier n'est pas valide. Les champs \'nom\', \'prénom\' et \'portable\' sont obligatoires;Le fichier n'est pas valide. Les champs \'nom\', \'prénom\' et \'portable\' sont obligatoires;The file is invalid. The fields \'last name\', \'first name\' and  \'mobile phone\' are mandatory;The file is invalid. The fields \'last name\', \'first name\' and  \'mobile phone\' are mandatory;O arquivo é inválido. Os campos \'sobrenome\', \'primeiro nome\' e \'telefone celular\' são obrigatórios;O arquivo é inválido. Os campos \'sobrenome\', \'primeiro nome\' e \'telefone celular\' são obrigatórios;"El fichero no es válido. Los campos ""apellido"", ""nombre"" y ""teléfono móvil"" son obligatorios.";"El fichero no es válido. Los campos ""apellido"", ""nombre"" y ""teléfono móvil"" son obligatorios."
js.data_not_compliant_correct_manually;Certaines données sont non conformes, vous devez les corriger manuellement;Certaines données sont non conformes, vous devez les corriger manuellement;"Some data are not compliant, you must correct them manually

";"Some data are not compliant, you must correct them manually

";"Alguns dados não estão em conformidade, você deve corrigi-los manualmente

";"Alguns dados não estão em conformidade, você deve corrigi-los manualmente

";Algunos datos no son conformes, debe corregirlos manualmente;Algunos datos no son conformes, debe corregirlos manualmente
js.file_contains_errors;Le fichier contient des erreurs;Le fichier contient des erreurs;The file contains errors;The file contains errors;O arquivo contém erros;O arquivo contém erros;El fichero contiene errores;El fichero contiene errores
js.bad_syntax;Mauvaise syntaxe;Mauvaise syntaxe;Wrong syntax;Wrong syntax;Sintaxe incorreta;Sintaxe incorreta;Sintaxis incorrecta;Sintaxis incorrecta
js.addition_sector_impossible_6_sectors_already_used;Ajout de secteur d'activité impossible, les 6 secteurs sont déjà utilisés;Ajout de secteur d'activité impossible, les 6 secteurs sont déjà utilisés;Addition of activity sector impossible, the 6 sectors are already used;Addition of activity sector impossible, the 6 sectors are already used;Adição de setor de atividade impossível, os 6 setores já são usados;Adição de setor de atividade impossível, os 6 setores já são usados;Adición de sector de actividad imposible, los 6 sectores ya están utilizados;Adición de sector de actividad imposible, los 6 sectores ya están utilizados
js.bad_syntax_of_following_fields;Mauvaise syntaxe des champs suivant:;Mauvaise syntaxe des champs suivant:;Wrong syntax of the following fields:;Wrong syntax of the following fields:;Sintaxe incorreta dos seguintes campos:;Sintaxe incorreta dos seguintes campos:;Sintaxis incorrecta de los siguientes campos:;Sintaxis incorrecta de los siguientes campos:
js.authorized_fields;Champs autorisés;Champs autorisés;Authorized fields;Authorized fields;Campos autorizados;Campos autorizados;Campos autorizados;Campos autorizados
js.problems_encountered_during_update_operation_canceled;problèmes rencontrés lors de l'update, opération annuée;problèmes rencontrés lors de l'update, opération annuée;problems encountered during the update, operation canceled;problems encountered during the update, operation canceled;Problemas encontrados durante a atualização, operação cancelada;Problemas encontrados durante a atualização, operação cancelada;problemas encontrados durante la actualización, operación cancelada;problemas encontrados durante la actualización, operación cancelada
js.validate;Valider;Valider;Validate;Validate;Validar;Validar;Validar;Validar
js.accept_PDP_notice_for_valid;Acceptez la notice PDP pour valide;Acceptez la notice PDP pour valide;Accept the PDP notice for valid;Accept the PDP notice for valid;Aceitar o aviso de PDP como válido;Aceitar o aviso de PDP como válido;Aceptar el aviso de PDP como válido;Aceptar el aviso de PDP como válido
js.delete_my_account;Supprimer mon compte;Supprimer mon compte;Delete my account;Delete my account;Excluir minha conta;Excluir minha conta;Eliminar mi cuenta;Eliminar mi cuenta
js.hide;Occulter;Occulter;Hide;Hide;Ocultar;Ocultar;Ocultar;Ocultar
js.show;Afficher;Afficher;Show;Show;Mostrar;Mostrar;Mostrar;Mostrar
js.supress_my_coordinates;Supprimer mes coordonnées;Supprimer mes coordonnées;delete my coordinates;delete my coordinates;Excluir minhas coordenadas;Excluir minhas coordenadas;borrar mis coordenadas;borrar mis coordenadas
js.other;Autre;Autre;Other;Other;Outros;Outros;Otro;Otro
js.other_job;Autre métier;Autre métier;Other job;Other job;Outro emprego;Outro emprego;Otro trabajo;Otro trabajo
js.other_contract;Autre contrat;Autre contrat;Other contract;Other contract;Outro contrato;Outro contrato;Otro contrato;Otro contrato
js.other_reason;Autre raison;Autre raison;Other reason;Other reason;Outro motivo;Outro motivo;Otro motivo;Otro motivo
js.other_degree;Autre diplôme;Autre diplôme;Other diploma;Other diploma;Outro diploma;Outro diploma;Otro diploma;Otro diploma
js.other_establishment;Autre établissement;Autre établissement;Other institution;Other institution;Outra instituição;Outra instituição;Otra institución;Otra institución
js.other_position;Autre poste;Autre poste;Other position;Other position;Outro cargo;Outro cargo;Otro puesto;Otro puesto
js.other_skill;Autre compétence;Autre compétence;Other skill;Other skill;Outra habilidade;Outra habilidade;Otra cualificación;Otra cualificación
js.a_man;un homme;un homme;male;male;um homem;um homem;Hombre;Hombre
js.a_woman;une femme;une femme;female;female;uma mulher;uma mulher;una mujer;una mujer
js.sure_to_delete_item;Voulez-vous vraiment supprimer l'élément ?;Voulez-vous vraiment supprimer l'élément ?;Are you sure you want to delete the item?;Are you sure you want to delete the item?;Tem certeza de que deseja excluir o item?;Tem certeza de que deseja excluir o item?;¿Está seguro de que desea eliminar el elemento?;¿Está seguro de que desea eliminar el elemento?
js.checkbox_is_checked;Le checkbox est coché;Le checkbox est coché;The checkbox is checked;The checkbox is checked;A caixa de seleção está marcada;A caixa de seleção está marcada;La casilla está marcada;La casilla está marcada
js.checkbox_is_not_checked;Le checkbox n'est pas coché;Le checkbox n'est pas coché;The checkbox is not checked;The checkbox is not checked;A caixa de seleção não está marcada;A caixa de seleção não está marcada;La casilla no está marcada;La casilla no está marcada
;<-variables for import csv->;<-variables for import csv->;;;;;;
js.import_csv_registration;immatriculation;immatriculation;registration;registration;registro;registro;inscripción;inscripción
js.import_csv_first_name;prénom;prénom;first name;first name;primeiro nome;primeiro nome;primero nombre;primero nombre
js.import_csv_name;nom;nom;name;name;nome;nome;nombre;nombre
js.import_csv_birthday;date naissance;date naissance;birthday;birthday;data de nascimento;data de nascimento;cumpleaños;cumpleaños
js.import_csv_gender;genre;genre;gender;gender;gênero;gênero;sexo;sexo
js.import_csv_region;région;région;region;region;região;região;región;región
js.import_csv_city;ville;ville;city;city;cidade;cidade;ciudad;ciudad
js.import_csv_mobile_phone;portable;portable;mobile phone;mobile phone;telefone celular;telefone celular;teléfono móvil;teléfono móvil
js.import_csv_phone;téléphone;téléphone;phone;phone;telefone;telefone;teléfono;teléfono
js.import_csv_parent_mobile_phone;portable parent;portable parent;parent mobile phone;parent mobile phone;telefone celular dos pais;telefone celular dos pais;teléfono móvil de los padres;teléfono móvil de los padres
